Index,Year,Code,Country,Total,Female total,Male total
119,2012,POL,Poland,1303,673,630
120,2012,ROU,Romania,1889,105,1784
121,2012,SAU,Saudi Arabia,673,282,391
122,2012,SRB,Serbia and Kosovo: S/RES/1244 (1999),303726,153456,150270
123,2012,SVK,Slovakia,753,120,633
124,2012,SVN,Slovenia,250,62,188
125,2012,SWE,Sweden,26673,10655,16018
126,2012,SYR,Syrian Arab Rep.,478727,238438,240289
127,2012,TUN,Tunisia,1768,335,1433
128,2012,TUR,Turkey,183799,86302,97497
129,2012,UKR,Ukraine,7814,2093,5716
130,2013,AFG,Afghanistan,923696,466401,457295
131,2013,ALB,Albania,323,127,196
132,2013,ARM,Armenia,3237,1648,1589
133,2013,AUT,Austria,22223,6222,16001
134,2013,AZE,Azerbaijan,1452,613,839
135,2013,BEL,Belgium,19232,7656,11576
136,2013,BGR,Bulgaria,4536,1594,2942
137,2013,BIH,Bosnia and Herzegovina,143894,70568,73326
138,2013,BLR,Belarus,685,285,400
139,2013,CHE,Switzerland,72555,30521,42034
140,2013,CZE,Czechia,3296,980,2316
141,2013,DEU,Germany,323089,126219,196870
142,2013,DNK,Denmark,4263,2008,2255
143,2013,DZA,Algeria,1946,591,1355
144,2013,EGY,Egypt,253233,122074,131159
145,2013,ESP,Spain,4344,912,3432
146,2013,EST,Estonia,67,10,57
147,2013,FIN,Finland,2122,849,1273
148,2013,FRA,France,186234,78171,108063
149,2013,GEO,Georgia,248916,134195,114721
150,2013,GRC,Greece,49830,6478,43352
151,2013,HRV,Croatia,16893,8674,8219
152,2013,IRL,Ireland,10484,3949,6535
153,2013,IRN,Iran (Islamic Rep. of),28867,14061,14806
154,2013,IRQ,Iraq,1206411,581507,624904
155,2013,ISR,Israel,52975,8232,44743
156,2013,ITA,Italy,13653,1775,11878
157,2013,JOR,Jordan,646289,332892,313397
158,2013,KWT,Kuwait,1671,836,835
159,2013,LBN,Lebanon,862485,439127,423358
160,2013,LBY,Libya,32145,13563,18582
161,2013,LVA,Latvia,312,60,252
162,2013,MAR,Morocco,4959,1367,3592
163,2013,MDA,Rep. of Moldova,2336,1288,1048
164,2013,MKD,North Macedonia,2874,1064,1810
165,2013,MNE,Montenegro,18584,9376,9208
166,2013,NOR,Norway,2749,809,1940
167,2013,POL,Poland,1954,955,999
168,2013,ROU,Romania,668,190,478
169,2013,SAU,Saudi Arabia,655,268,387
170,2013,SRB,Serbia and Kosovo: S/RES/1244 (1999),289923,147001,142922
171,2013,SVN,Slovenia,207,47,160
172,2013,SWE,Sweden,42800,16474,26326
173,2013,SYR,Syrian Arab Rep.,33753,17405,16348
174,2013,TUN,Tunisia,1076,306,770
175,2013,TUR,Turkey,39099,16939,22160
176,2013,UKR,Ukraine,8388,2145,6243
177,2014,AFG,Afghanistan,1307172,659993,647179
178,2014,ALB,Albania,595,223,372
179,2014,ARM,Armenia,3328,1692,1636
180,2014,AZE,Azerbaijan,1356,552,804
181,2014,BGR,Bulgaria,6734,1208,5526
182,2014,BIH,Bosnia and Herzegovina,143926,70581,73345
183,2014,BLR,Belarus,1173,514,659
184,2014,CHE,Switzerland,81407,34163,47244
185,2014,CZE,Czechia,3617,1464,2153
186,2014,DEU,Germany,455036,170337,284699
187,2014,DNK,Denmark,9022,4511,4511
188,2014,DZA,Algeria,4987,1695,3292
189,2014,EGY,Egypt,261740,126896,134844
190,2014,EST,Estonia,88240,41432,46808
191,2014,FIN,Finland,4047,1407,2640
192,2014,FRA,France,249398,102725,146673
193,2014,GBR,United Kingdom of Great Britain and Northern Ireland,31545,11987,19558
194,2014,GEO,Georgia,265159,141920,123239
195,2014,GRC,Greece,31929,5025,26904
196,2014,HRV,Croatia,769,335,434
197,2014,HUN,Hungary,18675,4609,14066
198,2014,IRN,Iran (Islamic Rep. of),29944,14638,15306
199,2014,IRQ,Iraq,279452,121516,157936
200,2014,ISR,Israel,39726,6000,33726
201,2014,ITA,Italy,46562,4059,42503
202,2014,JOR,Jordan,672902,339668,333234
203,2014,KWT,Kuwait,1652,783,869
204,2014,LBN,Lebanon,1167136,616264,550872
205,2014,LBY,Libya,36851,14990,21861
206,2014,LUX,Luxembourg,2338,816,1522
207,2014,LVA,Latvia,263205,139391,123814
208,2014,MAR,Morocco,3026,1035,1991
209,2014,MDA,Rep. of Moldova,2489,1380,1109
210,2014,MKD,North Macedonia,3166,1071,2095
211,2014,MNE,Montenegro,6523,3263,3260
212,2014,NOR,Norway,6490,1892,4598
213,2014,POL,Poland,1376,699,677
214,2014,PRT,Portugal,14,5,9
215,2014,ROU,Romania,2511,747,1759
216,2014,RUS,Russian Federation,231787,162251,69536
217,2014,SAU,Saudi Arabia,657,270,387
218,2014,SRB,Serbia and Kosovo: S/RES/1244 (1999),270905,137065,133840
219,2014,SVK,Slovakia,351,106,245
220,2014,SVN,Slovenia,320,99,221
221,2014,SWE,Sweden,77329,33627,43702
222,2014,SYR,Syrian Arab Rep.,191923,94636,97287
223,2014,TUN,Tunisia,1122,391,731
224,2014,TUR,Turkey,368260,169917,198343
225,2014,UKR,Ukraine,832122,537489,294633
226,2015,AFG,Afghanistan,1582256,779041,803215
227,2015,ALB,Albania,8380,4200,4180
228,2015,ARM,Armenia,19552,9799,9753
229,2015,AZE,Azerbaijan,1336,564,772
230,2015,BEL,Belgium,35302,14747,20555
231,2015,BGR,Bulgaria,9481,1966,7515
232,2015,BIH,Bosnia and Herzegovina,157628,77330,80298
233,2015,BLR,Belarus,778,266,512
234,2015,CHE,Switzerland,99130,44322,54808
235,2015,CZE,Czechia,3644,1508,2136
236,2015,DEU,Germany,775824,263734,512090
237,2015,DZA,Algeria,6754,2303,4451
238,2015,EGY,Egypt,250667,121564,129103
239,2015,ESP,Spain,5798,2899,2899
240,2015,EST,Estonia,202,67,135
241,2015,FRA,France,206163,86846,119317
242,2015,GEO,Georgia,271751,145038,126713
243,2015,HRV,Croatia,17500,9033,8467
244,2015,HUN,Hungary,729,48,681
245,2015,IRL,Ireland,10838,3665,7173
246,2015,IRN,Iran (Islamic Rep. of),28843,14147,14696
247,2015,IRQ,Iraq,285144,126332,158812
248,2015,ISR,Israel,44623,11833,32790
249,2015,ITA,Italy,118047,22005,96042
250,2015,JOR,Jordan,689028,347974,341054
251,2015,KWT,Kuwait,1603,748,855
252,2015,LBN,Lebanon,1088176,561794,526382
253,2015,LBY,Libya,36768,15048,21720
254,2015,LUX,Luxembourg,3689,1226,2463
255,2015,MAR,Morocco,5454,2135,3319
256,2015,MDA,Rep. of Moldova,5549,2885,2664
257,2015,MKD,North Macedonia,1377,699,678
258,2015,MNE,Montenegro,12599,6282,6317
259,2015,NLD,Netherlands,116587,58294,58293
260,2015,NOR,Norway,50389,25194,25195
