Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Female 0 — 4,Female 5 — 11,Female 12 — 17,Female 5 — 17,Female 18 — 59,Female 60,f_other,Female total,Male 0 — 4,Male 5 — 11,Male 12 — 17,Male 5 — 17,Male 18 — 59,Male 60,Male total,m_other,Total
2018,Syrian Arab Rep.,SYR,Ghana,GHA,16,25,5,,42,0,,88,14,18,5,,117,0,154,,242
2018,Syrian Arab Rep.,SYR,Guinea,GIN,0,0,0,,5,0,,5,0,0,0,,5,0,5,,10
2018,Syrian Arab Rep.,SYR,Croatia,HRV,15,35,32,,74,0,,156,27,30,25,,189,0,271,,427
2018,Syrian Arab Rep.,SYR,Cote d'Ivoire,CIV,7,10,0,,19,0,,36,5,10,5,,46,0,66,,102
2018,Syrian Arab Rep.,SYR,India,IND,6,5,5,,18,0,,34,5,8,0,,53,0,66,,100
2018,Syrian Arab Rep.,SYR,Indonesia,IDN,0,0,0,,6,0,,6,0,0,5,,36,0,41,,47
2018,Syrian Arab Rep.,SYR,Ireland,IRL,86,87,47,,268,19,,507,77,99,61,,436,13,686,,1193
2018,Syrian Arab Rep.,SYR,Iraq,IRQ,20359,21034,11447,,62114,3987,,118941,21641,21857,12688,,73968,3431,133585,,252526
2018,Syrian Arab Rep.,SYR,Jamaica,JAM,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2018,Syrian Arab Rep.,SYR,Jordan,JOR,46924,69614,45945,,161713,15702,,339898,49991,74450,48263,,153199,11205,337108,,677006
2018,Syrian Arab Rep.,SYR,Kazakhstan,KAZ,0,0,0,,0,0,,0,0,0,0,,30,0,30,,30
2018,Syrian Arab Rep.,SYR,Kenya,KEN,0,0,0,,0,0,,0,0,0,0,,11,0,11,,11
2018,Syrian Arab Rep.,SYR,Kyrgyzstan,KGZ,0,0,5,,17,0,,22,5,10,0,,54,0,69,,91
2018,Syrian Arab Rep.,SYR,Rep. of Korea,KOR,55,62,20,,151,6,,294,50,43,29,,818,0,940,,1234
2018,Syrian Arab Rep.,SYR,Kuwait,KWT,5,10,14,,37,5,,71,0,16,10,,26,0,52,,123
2018,Syrian Arab Rep.,SYR,Liberia,LBR,0,0,0,,5,0,,5,0,0,0,,10,0,10,,15
2018,Syrian Arab Rep.,SYR,Libya,LBY,523,2716,1510,,5772,354,,10875,516,2803,1649,,7422,460,12850,,23725
2018,Syrian Arab Rep.,SYR,Lebanon,LBN,73413,118594,66234,,222206,13585,,494032,77181,123658,69230,,171322,10796,452187,,946219
2018,Syrian Arab Rep.,SYR,Sri Lanka,LKA,0,0,9,,0,0,,9,0,0,0,,5,0,5,,14
2018,Syrian Arab Rep.,SYR,Mauritania,MRT,19,24,16,,97,8,,164,24,23,22,,136,10,215,,379
2018,Syrian Arab Rep.,SYR,North Macedonia,MKD,0,0,0,,0,0,,0,0,0,5,,12,0,17,,17
2018,Syrian Arab Rep.,SYR,Rep. of Moldova,MDA,0,12,10,,35,5,,62,0,8,6,,137,5,156,,218
2018,Syrian Arab Rep.,SYR,Mexico,MEX,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2018,Syrian Arab Rep.,SYR,Mali,MLI,7,10,6,,73,0,,96,12,9,27,,195,0,243,,339
2018,Syrian Arab Rep.,SYR,Malaysia,MYS,93,155,80,,575,31,,934,77,188,102,,1477,50,1894,,2828
2018,Syrian Arab Rep.,SYR,Morocco,MAR,211,362,254,,760,48,,1635,251,373,233,,954,60,1871,,3506
2018,Syrian Arab Rep.,SYR,Montenegro,MNE,0,0,0,,0,0,,0,0,0,0,,52,0,52,,52
2018,Syrian Arab Rep.,SYR,Mauritius,MUS,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2018,Syrian Arab Rep.,SYR,Niger,NER,0,0,0,,0,0,,0,0,0,0,,16,0,16,,16
2018,Syrian Arab Rep.,SYR,Nigeria,NGA,0,12,0,,33,0,,45,10,7,5,,224,8,254,,299
2018,Syrian Arab Rep.,SYR,Oman,OMN,0,0,0,,7,0,,7,0,0,0,,0,0,0,,7
2018,Syrian Arab Rep.,SYR,Pakistan,PAK,0,5,0,,5,0,,10,0,0,0,,24,0,24,,34
2018,Syrian Arab Rep.,SYR,Peru,PER,0,0,0,,0,0,,0,0,0,0,,18,0,18,,18
2018,Syrian Arab Rep.,SYR,Philippines,PHL,0,5,5,,12,0,,22,0,5,0,,91,14,120,,142
2018,Syrian Arab Rep.,SYR,Qatar,QAT,0,5,5,,11,0,,21,0,5,0,,8,0,13,,34
2018,Syrian Arab Rep.,SYR,Romania,ROU,107,126,73,,496,31,,833,105,157,96,,1049,52,1459,,2292
2018,Syrian Arab Rep.,SYR,El Salvador,SLV,0,0,5,,0,0,,5,0,0,0,,0,0,0,,5
2018,Syrian Arab Rep.,SYR,Saudi Arabia,SAU,178,228,120,,485,38,,1049,194,254,141,,483,45,1117,,2166
2018,Syrian Arab Rep.,SYR,Serbia and Kosovo: S/RES/1244 (1999),SRB,0,0,0,,0,0,,0,0,0,0,,5,0,5,,5
2018,Syrian Arab Rep.,SYR,Senegal,SEN,0,0,0,,5,0,,5,0,9,0,,0,0,9,,14
2018,Syrian Arab Rep.,SYR,Somalia,SOM,8,14,12,,43,0,,77,9,21,6,,101,6,143,,220
2018,Syrian Arab Rep.,SYR,Sudan,SDN,586,1278,718,,3180,168,,5930,673,1428,873,,4087,200,7261,,13191
2018,Syrian Arab Rep.,SYR,Slovenia,SVN,10,17,9,,55,0,,91,6,20,18,,80,0,124,,215
2018,Syrian Arab Rep.,SYR,Switzerland,CHE,555,769,511,,2425,236,,8227,560,867,555,,3181,185,10127,,18354
2018,Syrian Arab Rep.,SYR,Thailand,THA,5,12,5,,49,5,,76,11,13,8,,168,5,205,,281
2018,Syrian Arab Rep.,SYR,Togo,TGO,0,0,0,,0,0,,0,0,0,0,,10,0,10,,10
2018,Syrian Arab Rep.,SYR,Tunisia,TUN,52,78,62,,216,20,,428,54,85,76,,266,18,499,,927
2018,Syrian Arab Rep.,SYR,Turkey,TUR,284080,309885,193294,,811504,58147,,1656910,304041,330899,225148,,1051466,54012,1965566,,3622476
2018,Syrian Arab Rep.,SYR,United Arab Emirates,ARE,415,696,394,,1413,86,,3004,436,722,427,,1445,83,3113,,6117
2018,Syrian Arab Rep.,SYR,Uganda,UGA,0,0,0,,0,0,,0,0,0,0,,10,0,10,,10
2018,Syrian Arab Rep.,SYR,Ukraine,UKR,0,9,0,,38,0,,47,0,9,5,,419,9,442,,489
2018,Syrian Arab Rep.,SYR,Uruguay,URY,0,6,5,,15,0,,26,0,8,8,,19,0,35,,61
2018,Syrian Arab Rep.,SYR,Venezuela (Bolivarian Republic of),VEN,0,0,0,,5,0,,5,0,0,0,,0,0,0,,5
2018,Syrian Arab Rep.,SYR,Yemen,YEM,62,393,265,,1022,63,,1805,75,424,291,,1142,115,2047,,3852
2018,Syrian Arab Rep.,SYR,Zambia,ZMB,0,0,0,,0,0,,0,0,0,0,,18,0,18,,18
2019,Syrian Arab Rep.,SYR,Albania,ALB,0,0,0,,10,0,,10,0,0,0,,32,0,32,,42
